device,date,sleep_time,active_volume,avg_packet_size,mean_rate,peak_to_mean_rate,active_time,num_servers,num_protocols,unique_dns_reqs,dns_interval,ntp_interval
00-16-6c-ab-6b-88,16-09-23,5.13475,4394.65,318.07,313.95,24.7662,5.16224,36,183,4,1037738.742962,21600.614204
00-16-6c-ab-6b-88,16-09-24,5.98066,3917.15,329.56,283.81,40.2189,4.61026,40,18,4,3528051.345773,21030.639694
00-16-6c-ab-6b-88,16-09-25,6.24698,4063.02,330.79,283.87,42.888,4.64446,33,17,4,5174763.535862,17640.086428
00-16-6c-ab-6b-88,16-09-26,5.75079,3588.26,295.81,256.60,25.5799,4.79437,39,12,2,1061076.553445,21600.466048
00-16-6c-ab-6b-88,16-09-27,5.7712,2446.35,248.35,173.50,24.39,4.82234,29,11,2,1243663.080578,21600.611992
00-16-6c-ab-6b-88,16-09-28,5.34886,2714.72,242.39,201.71,486.218,4.83609,40,50,4,651533.156181,19528.025037
00-16-6c-ab-6b-88,16-09-29,5.80761,2377.53,250.99,174.58,25.918,4.63834,22,35,2,1288346.576959,21602.150432
00-16-6c-ab-6b-88,16-09-30,5.87668,2245.74,256.07,168.90,25.1569,4.49376,31,40,2,1783828.140736,16201.824914
00-16-6c-ab-6b-88,16-10-01,5.78879,2364.84,255.20,171.62,25.1281,4.70615,30,127,2,1913502.814687,12962.568678
00-16-6c-ab-6b-88,16-10-02,6.17964,2245.73,269.68,163.63,25.2756,4.48607,27,11,2,6414818.242478,21600.590329
00-16-6c-ab-6b-88,16-10-03,6.15029,2270.73,270.86,164.56,44.5927,4.52372,32,17,4,7848400.403514,16120.627411
00-16-6c-ab-6b-88,16-10-04,5.89955,2386.57,246.37,170.57,24.8088,4.71581,31,14,2,1106966.141418,21600.550972
00-16-6c-ab-6b-88,16-10-05,3.78896,3529.67,234.24,255.60,31.7834,6.10169,33,503,5,329317.650446,21600.499346
00-16-6c-ab-6b-88,16-10-06,5.44793,2390.29,252.38,177.72,262.174,4.77655,29,24,2,1042202.324959,16201.661455
00-16-6c-ab-6b-88,16-10-08,5.69529,2129.46,266.15,158.73,20.8955,4.62933,18,11,2,3369706.203019,16202.960549
00-16-6c-ab-6b-88,16-10-09,6.17786,2239.09,276.52,155.09,18.0953,4.71837,17,11,2,28384956.139488,21600.517911
00-16-6c-ab-6b-88,16-10-10,5.72339,2093.81,272.33,156.80,17.5024,4.59301,22,11,2,8838946.833081,21600.507630
00-16-6c-ab-6b-88,16-10-11,3.65216,5193.06,320.31,373.96,21.6443,6.26286,29,2081,4,378899.006316,16201.685128
00-16-6c-ab-6b-88,16-10-12,5.66655,2378.44,277.52,169.69,27.2969,4.85147,25,86,4,6503262.715288,10802.869866
00-24-e4-11-18-a8,16-09-23,1.82341,336.361,60.75,32.98,51.0706,6.34286,4,5,2,4018089.777176,N/A
00-24-e4-11-18-a8,16-09-24,1.84804,321.468,60.03,31.84,80.8072,6.24752,6,6,2,4883195.391512,N/A
00-24-e4-11-18-a8,16-09-25,1.80527,320.16,59.65,31.87,53.8567,6.27212,4,5,2,5103154.544525,N/A
00-24-e4-11-18-a8,16-09-26,1.82692,327.733,60.40,32.60,53.1856,6.24718,4,5,2,4325215.031049,N/A
00-24-e4-11-18-a8,16-09-27,1.8308,332.777,60.74,33.08,49.7839,6.24662,4,5,2,3975699.146431,N/A
00-24-e4-11-18-a8,16-09-28,1.82638,340.881,61.83,33.80,75.5814,6.26789,6,6,3,3503731.683632,N/A
00-24-e4-11-18-a8,16-09-29,1.82756,328.184,60.44,32.55,52.8165,6.26614,4,5,2,4300749.910407,N/A
00-24-e4-11-18-a8,16-09-30,1.84804,337.816,61.13,33.39,51.4508,6.26033,4,5,2,3725363.052382,N/A
00-24-e4-11-18-a8,16-10-01,1.79151,343.23,61.62,33.93,51.3528,6.33376,4,5,2,3399378.107131,N/A
00-24-e4-11-18-a8,16-10-02,1.85898,337.173,61.04,33.28,72.6597,6.25477,4,5,2,3966163.685325,N/A
00-24-e4-11-18-a8,16-10-03,1.79078,339.896,61.40,33.71,50.6225,6.31481,4,5,2,3538368.218237,N/A
00-24-e4-11-18-a8,16-10-04,1.88958,344.089,61.75,33.68,49.6301,6.2675,4,5,2,3353603.653549,N/A
00-24-e4-11-18-a8,16-10-05,1.83827,348.546,62.09,34.38,80.7644,6.28514,7,6,3,3187197.201585,N/A
00-24-e4-11-18-a8,16-10-06,1.82665,336.043,61.14,33.50,51.2467,6.23514,4,5,2,3745580.114811,N/A
00-24-e4-1b-6f-96,16-09-23,1866.33,42725,199.84,1.49,1470.61,48,6,5,2,737314109.484227,N/A
00-24-e4-1b-6f-96,16-09-24,0,N/A,201.08,1105.61,1.84593,N/A,6,5,2,1474678650.825549,N/A
00-24-e4-1b-6f-96,16-09-25,2400,32374,201.08,1.28,1706.34,30,6,5,2,737389755.998484,N/A
00-24-e4-1b-6f-96,16-09-26,2399.86,32472,201.26,1.28,1704.71,30,6,5,2,737440186.094758,N/A
00-24-e4-1b-6f-96,16-09-27,2520,32373,201.21,1.29,1694.56,30,6,5,2,737490616.939546,N/A
00-24-e4-1b-6f-96,16-09-28,1107.5,31363,202.64,2.81,774.917,30,6,5,2,737522292.094595,N/A
00-24-e4-1b-6f-96,16-09-29,2400,32184,200.49,1.28,1601.41,30,6,5,2,737572721.419047,N/A
00-24-e4-1b-6f-96,16-09-30,0,N/A,201.07,1136.00,1.84598,N/A,6,5,2,1475195871.682262,N/A
00-24-e4-1b-6f-96,16-10-01,1867,16112,196.74,1.28,1558.55,18.75,6,5,2,737648365.929642,N/A
00-24-e4-1b-6f-96,16-10-02,2290.77,32224,198.93,1.28,1708.82,33,6,5,2,737698797.517865,N/A
00-24-e4-1b-6f-96,16-10-03,2290.77,32373,199.48,1.28,1704.15,30,6,5,2,737749227.851077,N/A
00-24-e4-1b-6f-96,16-10-04,0,N/A,200.69,1020.48,2.00295,N/A,5,5,2,1475548888.038447,N/A
00-24-e4-1b-6f-96,16-10-05,2099.88,32333,199.97,1.28,1551.7,30,6,5,2,737824874.101797,N/A
00-24-e4-1b-6f-96,16-10-06,2290.77,32333,201.58,1.28,1553.52,33,6,5,2,737875304.928794,N/A
00-24-e4-1b-6f-96,16-10-08,2399.86,32339,202.12,1.28,1708.06,30,6,5,2,737956698.452328,N/A
00-24-e4-1b-6f-96,16-10-09,2290.64,32135,198.63,1.28,1711.34,33,6,5,2,738007128.534819,N/A
00-24-e4-1b-6f-96,16-10-10,0,N/A,202.75,1108.89,2.01207,N/A,6,5,2,1476064686.898754,N/A
00-24-e4-1b-6f-96,16-10-11,1938,16165,198.25,1.30,1688.78,21,6,5,2,738082775.289074,N/A
00-24-e4-1b-6f-96,16-10-12,0,N/A,199.94,1089.40,1.87984,N/A,5,5,2,1476215980.904727,N/A
00-24-e4-20-28-c6,16-09-28,4.24723,534.961,137.98,56.29,132.43,3.93394,12,7,3,7487666.203061,N/A
00-24-e4-20-28-c6,16-09-29,4.26891,503.71,135.82,53.08,180.943,3.91651,4,5,2,6585524.598858,N/A
00-24-e4-20-28-c6,16-09-30,4.25914,505.149,135.70,53.50,180.755,3.90216,5,5,2,6070962.740585,N/A
00-24-e4-20-28-c6,16-10-01,4.22368,511.765,135.54,53.91,178.327,3.9422,4,5,2,5484499.288587,N/A
00-24-e4-20-28-c6,16-10-02,4.24558,502.449,135.65,53.67,146.069,3.87639,5,5,2,5949240.480628,N/A
00-24-e4-20-28-c6,16-10-03,4.27125,519.385,135.29,54.57,138.36,3.92641,4,5,2,4901989.728236,N/A
00-24-e4-20-28-c6,16-10-04,9.41428,504.946,128.50,32.81,291.119,3.71953,7,5,2,5036127.237592,N/A
00-24-e4-20-28-c6,16-10-05,9.39475,464.423,131.26,31.00,258.024,3.62665,4,5,2,5998663.789923,N/A
00-24-e4-20-28-c6,16-10-06,8.99792,3220.88,434.88,210.94,155.469,3.81654,7,5,2,5833037.180491,N/A
00-24-e4-20-28-c6,16-10-08,9.50195,476.224,132.80,31.02,305.154,3.68361,5,5,2,5903726.041273,N/A
00-24-e4-20-28-c6,16-10-09,9.50825,469.135,131.94,30.83,309.719,3.64893,4,5,2,6362139.404200,N/A
00-24-e4-20-28-c6,16-10-10,9.38054,470.68,130.86,31.55,248.445,3.61513,5,5,2,5507851.664419,N/A
00-24-e4-20-28-c6,16-10-11,9.33719,467.51,131.21,30.83,318.764,3.68668,4,5,2,6099959.438772,N/A
00-24-e4-20-28-c6,16-10-12,9.35661,460.326,130.01,30.76,310.054,3.6332,4,5,2,10775478.169306,N/A
00-62-6e-51-27-2e,16-09-28,6.75384,8293.57,104.97,405.38,851.366,6.29154,37,65534,2,1596397.384839,61.074102
00-62-6e-51-27-2e,16-09-29,6.60908,1214.69,104.69,59.96,43.3486,6.3245,29,405,2,853679.157197,60.083558
00-62-6e-51-27-2e,16-09-30,6.68416,1187.77,105.53,59.54,39.8814,6.18018,30,592,2,854718.414975,60.125927
00-62-6e-51-27-2e,16-10-01,5.47273,1399.6,107.19,66.11,37.2075,7.49485,32,2166,2,853779.157365,60.000211
00-62-6e-51-27-2e,16-10-02,7.71789,1064.69,105.36,55.67,58.6282,5.35328,28,7,2,890949.990082,59.999875
00-62-6e-51-27-2e,16-10-03,7.14151,1171.38,104.36,58.76,43.2961,5.8961,28,7,2,854866.502675,60.041693
00-62-6e-51-27-2e,16-10-04,7.21703,1133.45,104.99,56.79,41.7182,5.8586,29,11,2,864432.327866,60.674434
00-62-6e-51-27-2e,16-10-05,7.40711,1194.92,112.82,61.30,61.1994,5.61882,32,546,2,854966.619707,60.084884
00-62-6e-51-27-2e,16-10-06,7.22372,1138.02,105.15,57.28,41.5538,5.8295,31,142,2,854027.075000,60.041646
00-62-6e-51-27-2e,16-10-08,7.12544,1070.43,106.69,54.25,47.0011,5.84578,27,7,2,854127.075025,60.000022
00-62-6e-51-27-2e,16-10-09,7.08581,1063.17,106.49,54.40,44.1303,5.81267,27,7,2,854671.676686,60.041761
00-62-6e-51-27-2e,16-10-10,8.37424,1053.75,106.22,54.91,44.4655,5.06088,27,7,2,855712.687299,60.125238
00-62-6e-51-27-2e,16-10-11,7.64871,1080.16,105.68,55.44,42.1784,5.48827,28,8,2,855266.967811,60.083913
00-62-6e-51-27-2e,16-10-12,7.17947,1124.17,105.60,56.49,43.5017,5.86687,30,8,2,1441642.544651,60.069684
08-21-ef-3b-fc-e3,16-09-23,11.0871,2237.03,206.34,79.26,557.829,6.00981,145,21,5,3171266.344519,12980.117919
08-21-ef-3b-fc-e3,16-09-24,96.7361,4382.6,291.29,25.08,2789.61,5.25152,100,21,3,9217033.472390,42969.869413
08-21-ef-3b-fc-e3,16-09-25,102.234,3290.29,251.60,18.30,4775.53,5.11875,90,18,3,10924531.272937,24453.376564
08-21-ef-3b-fc-e3,16-09-26,69.1462,3558.86,276.78,28.99,4566.3,5.09871,107,19,3,7301477.210193,10748.405765
08-21-ef-3b-fc-e3,16-09-27,54.2675,3527.32,293.78,33.16,1975.74,5.56984,114,21,3,10172308.096442,8111.383311
08-21-ef-3b-fc-e3,16-09-28,18.9766,157036,933.64,2515.26,2157.97,8.52061,314,419,5,1539733.500831,6244.133894
08-21-ef-3b-fc-e3,16-09-29,32.792,9731.94,316.57,99.90,1840.38,8.36612,150,448,5,3470885.974228,7625.414637
08-21-ef-3b-fc-e3,16-09-30,8.61274,3180.02,150.43,63.07,300.182,13.1094,59,631,4,26822570.176112,N/A
08-21-ef-3b-fc-e3,16-10-01,18.9967,6670.56,198.36,59.94,815.334,15.1758,151,2292,5,3479552.443450,10087.680166
08-21-ef-3b-fc-e3,16-10-02,32.6339,4085.63,221.90,47.97,699.557,7.15974,129,24,3,3391747.747547,0.004538
08-21-ef-3b-fc-e3,16-10-03,28.296,3988.67,214.61,53.79,519.2,7.10302,134,23,3,2998974.093763,6301.150441
08-21-ef-3b-fc-e3,16-10-04,24.0643,19604.7,554.68,279.81,14806.6,7.76621,176,30,4,2634974.956078,13555.281679
08-21-ef-3b-fc-e3,16-10-05,9.80141,71049.7,401.52,1490.13,2026.82,11.1721,345,867,5,728002.837328,6204.209783
08-21-ef-3b-fc-e3,16-10-06,14.3551,8305.13,229.02,145.07,233.804,9.89404,118,180,5,2712791.850292,3440.193443
08-21-ef-3b-fc-e3,16-10-08,7.92925,4124.56,209.29,146.26,291.405,7.74004,182,25,5,1056500.551709,11615.105156
08-21-ef-3b-fc-e3,16-10-09,18.644,5856.13,228.08,104.61,512.218,7.75748,150,21,3,1276831.757196,17820.865191
08-21-ef-3b-fc-e3,16-10-10,18.7676,4889.91,218.64,90.44,473.781,7.45022,156,26,3,1587208.022171,19642.956320
08-21-ef-3b-fc-e3,16-10-11,20.3018,20413.2,639.50,355.41,11136.1,7.39293,149,20,4,2236649.923956,11390.502449
08-21-ef-3b-fc-e3,16-10-12,59.4279,54812.9,863.76,375.94,14165.6,6.97714,90,23,4,4406692.303885,6084.892436
14-cc-20-51-33-ea,16-09-23,0.00062513,4.62131e+07,350.39,3215.41,800.911,14177.5,665,91,5,205010.312452,67.200938
14-cc-20-51-33-ea,16-09-24,0.000937826,3.19993e+07,390.87,3026.92,63.9673,9112.88,342,49,5,252176.050851,63.919361
14-cc-20-51-33-ea,16-09-25,0.00125052,2.99515e+06,90.98,429.50,177.734,6949.5,296,40,5,359447.179482,66.015525
14-cc-20-51-33-ea,16-09-26,0.000520924,4.76969e+06,117.93,634.04,129.651,6843.6,338,49,5,268212.110649,66.164506
14-cc-20-51-33-ea,16-09-27,0.000520924,7.88421e+06,106.28,578.57,172.146,12423.6,318,45,4,286738.867661,63.271160
14-cc-20-51-33-ea,16-09-28,0.00010417,11737282,598.83,12342.24,430.152,26076,1044,81,7,115167.956245,36.775515
14-cc-20-51-33-ea,16-09-29,0.000312533,2.79608e+07,146.40,1063.88,175.587,23871,579,57,6,165617.781928,28.022933
14-cc-20-51-33-ea,16-09-30,0,N/A,185.15,1482.62,113.329,N/A,399,64,5,207139.003685,28.608625
14-cc-20-51-33-ea,16-10-01,0.00010417,70441356,130.74,935.11,325.351,67527,445,49,5,199692.796958,28.392076
14-cc-20-51-33-ea,16-10-02,0,N/A,97.72,591.13,71.1811,N/A,439,53,4,223784.799572,28.432930
14-cc-20-51-33-ea,16-10-03,0,N/A,104.62,680.30,81.8391,N/A,444,45,4,213407.518602,28.905241
14-cc-20-51-33-ea,16-10-04,0.00626327,4.75327e+07,926.69,24010.14,277.025,1421.49,679,73,7,143441.818185,28.743926
14-cc-20-51-33-ea,16-10-05,0.00010417,23073483,339.58,5677.72,532.759,34227,1769,632,6,81745.645449,28.225557
14-cc-20-51-33-ea,16-10-06,0,N/A,179.75,1280.87,898.728,N/A,545,60,7,161109.037729,28.152511
14-cc-20-51-33-ea,16-10-08,0.000833565,7.30128e+06,116.14,685.99,72.8733,10575.4,445,41,4,201437.366677,28.986153
14-cc-20-51-33-ea,16-10-09,0.00145904,3198417,106.31,563.12,111.671,5613.43,428,37,4,221724.197933,28.745207
14-cc-20-51-33-ea,16-10-10,0.00166759,3034285,105.44,584.01,70.405,5145.94,423,43,4,222976.493292,29.053121
14-cc-20-51-33-ea,16-10-11,0.000312533,3.31791e+08,524.65,11696.42,428.611,26206,1459,267,5,99614.736922,28.774763
14-cc-20-51-33-ea,16-10-12,0.00175994,1.01503e+07,855.19,58856.01,85.1024,4199.7,991,444,6,299137.176964,28.502341
18-b4-30-25-be-e4,16-09-23,0,N/A,216.36,1582.30,1.74679,N/A,13,9,2,368648296.422712,N/A
18-b4-30-25-be-e4,16-09-24,0,N/A,230.89,1675.10,1.6344,N/A,13,9,2,491558661.823566,N/A
18-b4-30-25-be-e4,16-09-25,0,N/A,214.46,1394.56,1.90127,N/A,13,9,2,491586262.131606,N/A
18-b4-30-25-be-e4,16-09-26,0.25,13160,218.68,1239.34,2.38127,15,13,9,2,491613862.455935,N/A
18-b4-30-25-be-e4,16-09-27,0,N/A,217.20,1620.15,1.70662,N/A,13,9,2,368731097.617913,N/A
18-b4-30-25-be-e4,16-09-28,1,14874.7,208.92,755.80,3.46694,14,13,10,2,491669064.150331,N/A
18-b4-30-25-be-e4,16-09-29,0,N/A,213.15,1536.82,1.76446,N/A,12,8,2,491696663.283945,N/A
18-b4-30-25-be-e4,16-09-30,2795.47,13520.2,197.16,1.14,2267.8,12,14,9,2,295044050.070683,N/A
18-b4-30-25-be-e4,16-10-01,0,N/A,217.61,1680.36,1.61092,N/A,12,8,2,491751862.852569,N/A
18-b4-30-25-be-e4,16-10-02,0,N/A,212.88,1560.97,1.7846,N/A,13,9,2,491779464.013229,N/A
18-b4-30-25-be-e4,16-10-03,0,N/A,213.56,1281.81,2.2273,N/A,13,9,2,491807064.099820,N/A
18-b4-30-25-be-e4,16-10-04,3539.65,18187,202.57,0.91,2834.05,16,14,9,2,295112821.040639,N/A
18-b4-30-25-be-e4,16-10-05,4138.5,43425,216.55,1.06,2606.56,27,13,9,2,210809941.897413,N/A
18-b4-30-25-be-e4,16-10-06,0,N/A,215.92,1602.59,1.75086,N/A,13,9,2,368938098.359405,N/A
18-b4-30-25-be-e4,16-10-08,0,N/A,215.81,1559.96,1.7468,N/A,13,9,2,491972665.174673,N/A
18-b4-30-25-be-e4,16-10-09,0,N/A,210.85,1386.85,2.06186,N/A,13,9,2,492000265.617943,N/A
18-b4-30-25-be-e4,16-10-10,0,N/A,216.44,1616.40,1.72569,N/A,13,9,2,492027866.471436,N/A
18-b4-30-25-be-e4,16-10-11,0,N/A,214.53,1591.29,1.88739,N/A,13,9,2,492055465.764098,N/A
18-b7-9e-02-20-44,16-09-23,22.3429,344.993,97.07,10.07,878.59,4.06359,13,8,2,8674346.435305,6186.848853
18-b7-9e-02-20-44,16-09-24,21.7517,367.354,96.42,10.37,609.89,4.29134,12,10,2,8238687.385748,6186.517367
18-b7-9e-02-20-44,16-09-25,22.1729,342.812,96.08,9.97,633.605,4.09677,13,8,2,8574486.826026,6186.872040
18-b7-9e-02-20-44,16-09-26,21.8229,368.367,98.71,10.46,604.602,4.25285,13,9,3,7972421.114220,6177.751981
18-b7-9e-02-20-44,16-09-27,21.7358,341.301,95.82,9.93,608.399,4.16773,12,8,2,8476921.730777,6174.071340
18-b7-9e-02-20-44,16-09-28,21.7131,726.7,143.52,21.25,1430.08,4.15083,16,12,3,7487669.848564,6184.710390
18-b7-9e-02-20-44,16-09-29,16.4574,544.076,89.42,10.65,492.303,7.87278,12,8,2,7412849.262370,6186.622203
18-b7-9e-02-20-44,16-09-30,15.1501,680.566,109.97,13.95,2239.71,8.06049,14,9,3,6442111.210585,6176.127071
18-b7-9e-02-20-44,16-10-01,15.9301,577.942,88.37,10.81,588.712,8.47398,14,9,3,6959104.538838,6182.437380
18-b7-9e-02-20-44,16-10-02,15.3269,518.947,88.11,10.80,485.928,7.86519,13,8,2,7232416.487119,6177.420506
18-b7-9e-02-20-44,16-10-03,15.5292,526.343,88.29,10.71,518.905,7.95786,12,8,2,6927227.072185,6197.752882
18-b7-9e-02-20-44,16-10-04,16.0306,543.635,87.78,10.65,491.057,8.04554,11,8,2,6707208.097231,6180.379644
18-b7-9e-02-20-44,16-10-05,15.3384,815.968,121.67,16.65,1972.6,8.01249,13,9,3,5385664.862631,6188.074320
18-b7-9e-02-20-44,16-10-06,17.3394,602.995,101.83,11.17,842.269,7.9606,20,13,3,6472625.418573,5638.763293
18-b7-9e-02-20-44,16-10-08,16.2621,630.25,92.36,11.40,492.302,8.60794,13,9,2,7647313.052593,6179.307139
18-b7-9e-02-20-44,16-10-09,15.1177,553.313,95.30,11.25,719.146,8.14188,13,9,3,6865199.191149,6186.985804
18-b7-9e-02-20-44,16-10-10,15.5564,528.33,90.44,10.79,583.729,7.91265,14,9,2,7235803.245402,6173.220055
18-b7-9e-02-20-44,16-10-11,15.3911,551.545,88.55,10.83,486.708,8.30442,13,9,2,7029477.162001,6183.711951
18-b7-9e-02-20-44,16-10-12,16.5235,528.184,86.54,10.42,63.3226,7.78571,8,6,2,12100340.177261,0.199662
30-8c-fb-2f-e4-b2,16-09-23,0.0185515,150962,110.19,309.53,22.3376,484.475,3,3,N/A,N/A,N/A
30-8c-fb-2f-e4-b2,16-09-24,0.0552727,46463.9,103.31,197.41,218.409,231.057,9,7,2,184333279.316291,113.707762
30-8c-fb-2f-e4-b2,16-09-25,0.0234113,73168.4,97.67,190.04,27.9665,381.888,3,3,N/A,N/A,N/A
30-8c-fb-2f-e4-b2,16-09-26,0.0247864,95469.9,106.91,243.24,123.051,388.699,7,6,2,210698671.212325,8.752740
30-8c-fb-2f-e4-b2,16-09-27,0.020451,112589,103.73,251.99,26.3529,443.518,3,3,N/A,N/A,N/A
30-8c-fb-2f-e4-b2,16-09-28,0.00542646,660319,130.09,352.41,244.67,1866.33,9,6,4,73753205.656858,13.090783
30-8c-fb-2f-e4-b2,16-09-29,0.0227758,98295.2,108.35,248.28,29.0785,392.53,3,3,N/A,N/A,N/A
30-8c-fb-2f-e4-b2,16-09-30,0.0202398,126154,109.04,280.91,25.9233,445.578,3,3,N/A,N/A,N/A
30-8c-fb-2f-e4-b2,16-10-01,0.00678639,420904,118.33,318.56,23.1478,1312.8,3,3,N/A,N/A,N/A
30-8c-fb-2f-e4-b2,16-10-02,0.025984,66357.1,97.28,189.55,23.9977,347.09,3,3,N/A,N/A,N/A
30-8c-fb-2f-e4-b2,16-10-03,0.0215073,101542,103.23,240.49,27.7994,418.3,3,3,N/A,N/A,N/A
30-8c-fb-2f-e4-b2,16-10-04,0.0171818,245126,115.43,311.73,23.2935,777.826,3,3,N/A,N/A,N/A
30-8c-fb-2f-e4-b2,16-10-05,0.0168651,289819,143.97,533.96,22.7474,538.66,3,3,N/A,N/A,N/A
30-8c-fb-2f-e4-b2,16-10-06,0.025105,100286,115.55,277.98,27.9928,357.364,3,3,N/A,N/A,N/A
30-8c-fb-2f-e4-b2,16-10-08,0.0241521,103343,118.52,275.68,156.505,371.465,3,3,N/A,N/A,N/A
30-8c-fb-2f-e4-b2,16-10-09,0.0271179,67389.2,99.19,199.32,35.5145,334.866,3,3,N/A,N/A,N/A
30-8c-fb-2f-e4-b2,16-10-10,0.0229873,90964.5,102.57,231.88,27.5148,388.918,3,3,N/A,N/A,N/A
30-8c-fb-2f-e4-b2,16-10-11,0.00479933,841353,138.60,448.53,139.88,1869.33,6,6,2,369038759.862532,1.611732
30-8c-fb-2f-e4-b2,16-10-12,0.0230415,99399.3,110.78,250.41,211.807,393.258,3,3,N/A,N/A,N/A
40-f3-08-ff-1e-da,16-09-29,13.9194,7536.45,256.87,198.01,120.912,6.70909,60,14,3,11801023.630073,N/A
44-65-0d-56-cc-d3,16-09-23,4.37024,857.173,95.03,57.88,83.3102,6.02829,34,10,4,762875.853091,92.354070
44-65-0d-56-cc-d3,16-09-24,2.88716,42432.7,725.20,2633.15,102.301,8.21153,64,14,5,504697.311901,80.721364
44-65-0d-56-cc-d3,16-09-25,4.03272,684.919,96.18,59.43,108.702,4.91528,33,9,4,763360.133238,83.914778
44-65-0d-56-cc-d3,16-09-26,3.94134,695.54,96.21,59.63,109.217,5.05635,35,9,4,763010.029291,86.599132
44-65-0d-56-cc-d3,16-09-27,3.99328,691.602,95.37,59.36,108.766,4.99811,34,9,3,761478.887372,79.972508
44-65-0d-56-cc-d3,16-09-28,4.0951,2948.25,294.27,253.49,5024.36,4.91599,37,10,5,727711.476628,82.350510
44-65-0d-56-cc-d3,16-09-29,4.04477,689.489,95.91,59.89,107.162,4.90259,34,9,4,756103.226459,84.404785
44-65-0d-56-cc-d3,16-09-30,3.95164,802.49,105.88,68.74,846.013,5.03757,34,10,4,750760.217573,88.826007
44-65-0d-56-cc-d3,16-10-01,3.94469,953.832,123.11,79.90,6757.56,5.15672,37,9,4,755030.817675,85.399918
44-65-0d-56-cc-d3,16-10-02,3.9584,727.763,95.60,60.72,90.5014,5.16737,34,9,3,790258.684630,86.498372
44-65-0d-56-cc-d3,16-10-03,3.97545,710.361,95.86,59.92,110.223,5.09868,34,9,3,759001.800767,90.349431
44-65-0d-56-cc-d3,16-10-04,4.14329,729.418,99.84,62.74,382.03,4.88197,35,11,4,764948.581127,87.419841
44-65-0d-56-cc-d3,16-10-05,4.44787,935.823,114.18,74.08,4532.97,5.0882,41,12,5,732343.556729,86.386612
44-65-0d-56-cc-d3,16-10-06,5.773,880.999,99.38,62.22,345.143,4.8418,35,9,4,763850.218193,87.066952
44-65-0d-56-cc-d3,16-10-08,5.48605,841.967,95.96,60.24,110.139,4.94126,34,10,3,754180.676449,88.150363
44-65-0d-56-cc-d3,16-10-09,5.39184,871.429,96.05,59.98,110.651,5.19374,34,9,3,760441.912819,84.863826
44-65-0d-56-cc-d3,16-10-10,4.98973,879.061,95.63,60.41,129.435,5.46378,34,9,3,752346.749502,88.321039
44-65-0d-56-cc-d3,16-10-11,4.81835,888.647,95.84,60.10,92.0442,5.67334,35,10,4,754698.757264,86.911096
44-65-0d-56-cc-d3,16-10-12,4.68018,884.239,95.37,60.68,130.248,5.70034,33,9,3,1262824.608225,84.712144
50-c7-bf-00-56-39,16-09-23,74.3935,361.409,110.22,3.55,636.681,3.94326,27,5,2,32057350.023246,3604.795698
50-c7-bf-00-56-39,16-09-24,70.6652,393.09,115.49,3.97,556.772,4.03448,24,6,2,20201700.475092,3604.098082
50-c7-bf-00-56-39,16-09-25,74.7836,366.098,111.79,3.65,619.269,3.86512,27,5,2,35114538.856486,3453.924906
